waterbody,county,table,modifier
Boggs Creek,Lumpkin,1,
Nottely River,Union,1,**
Blue Ridge Tailwaters,Fannin,1,
Panther Creek,Stephens,1,*
Chattahoochee River,White,1,
Rock Creek,Fannin,1,
Cooper Creek,Union,1,
Sarah's Creek,Rabun,1,
Dicks Creek,Lumpkin,1,
Smith Creek,White,1,
Etowah River,Lumpkin,1,**
Soapstone Creek,Towns,1,**
Holly Creek,Murray,1,**
Soque River,Habersham,1,
Jasus Creek,White,1,
Tallulah River,Rabun,1,
Johns Creek,Floyd,1,**
Tallulah River,Towns,1,
Lanier Tailwaters,"Forsyth,
Gwinnett",1,
Toccoa River,Fannin,1,**
Low Gap Creek,White,1,
Warwoman Creek,Rabun,1,
Middle Fork Broad R.,Stephens,1,*
West Armurchee Creek,Walker,1,**
Moccasin Creek,Rabun,1,
West Fork Chattooga,Rabun,1,
Nimblewill Creek,Lumpkin,1,**
Wolf Creek,Union,1,*
Amicalola Creek,Dawson,2,
Owl Town Creek,Gilmer,2,
Cochran Creek,Dawson,2,
Panther Creek,Habersham,2,
Connesena Creek,Bartow,2,*
Raccoon Creek,Paulding,2,*
Dockery Lake,Lumpkin,2,*
Raper Creek,Habersham,2,
Frogtown Creek,Lumpkin,2,
Spoilcane Creek,White,2,
Hartwell Tailwaters,Hart,2,
Swallow Creek,Towns,2,
Hiawassee River,Towns,2,**
Taliaferro Creek,Chattooga,2,
Holcomb Creek,Rabun,2,
Vogel Lake,Union,2,***
Little Amicalola Creek,Dawson,2,
Watermill Creek,Haralson,2,*
Little Cedar Creek,Floyd,2,
West Fork Wolf Creek,Union,2,**
Mill Creek,Murray,2,**
Winfield Scott Lake,Union,2,*
Mountaintown Creek,Gilmer,2,
Big Creek,Fannin,3,
Tickanetley Creek,Gilmer,3,
Cartecay River,Gilmer,3,
Town Creek,White,3,
Chestatee River,Lumpkin,3,
Allison Creek,Dade,4,*
Mt. Hope Creek,Floyd,4,
Blackrock Lake,Rabun,4,*
Nancytown Lake,Habersham,4,*
Boardtown Creek,Gilmer,4,*
Rock Creek Lake,Fannin,4,*
Brasstown Creek,Towns,4,
Ruff Creek,Chattooga,4,*
Brasstown Creek,Union,4,
Sautee Creek,White,4,
Chickamauga Creek,White,4,
Stonewall Creek,Rabun,4,*
Clear Creek,Gilmer,4,
Storey Mill Creek,Chattooga,4,*
Coosawattee River,Gilmer,4,*
Suches Creek,Union,4,*
East Fork Little River,Chattooga,4,*
Sugar Creek,Fannin,4,*
Ellijay River,Gilmer,4,*
Tiger Creek,Rabun,4,*
Hemptown Creek,Fannin,4,*
Timpson Creek,Rabun,4,
Hothouse Creek,Fannin,4,*
Ward Creek,Lumpkin,4,*
Little Pumpkinvine Creek,Paulding,4,*
Canada Creek,Union,5,
Turkey Creek,Gilmer,5,
Dukes Creek,White,6,
Lake Burton,Rabun,6,
Lake Blue Ridge,Fannin,6,
