id,stocked_on,waterbody_id,county,waterbody,species,quantity
4763,2026-08-14,64,White,Spoilcane Creek,,
4762,2026-08-14,80,White,Smith Creek,,
4761,2026-08-14,62,White,Low Gap Creek,,
4760,2026-08-14,61,White,Jasus Creek,,
4759,2026-08-14,59,White,Chattahoochee River (WMA),,
4758,2026-08-14,79,Walker,West Armuchee,,
4757,2026-08-14,58,Rabun,West Fork Chattooga River,,
4756,2026-08-14,57,Rabun,Warwoman Creek,,
4755,2026-08-14,56,Rabun,Sarah's Creek,,
4754,2026-08-14,27,Rabun,Moccasin Creek,,
4753,2026-08-14,26,Rabun,Holcomb Creek,,
4752,2026-08-14,24,Habersham,Raper Creek,,
4751,2026-08-14,100,Habersham,Panther Creek,,
4750,2026-08-14,65,Floyd,Johns Creek,,
4749,2026-08-13,98,White,Town Creek,,
4748,2026-08-13,78,Union,Cooper Creek,,
4747,2026-08-13,77,Towns,Tallulah River (T),,
4746,2026-08-13,74,Rabun,Tallulah River (R),,
4745,2026-08-13,71,Lumpkin,Frogtown Creek,,
4744,2026-08-13,68,Lumpkin,Dicks Creek,,
4743,2026-08-13,67,Lumpkin,Boggs Creek,,
4742,2026-08-13,95,Floyd,Little Cedar Creek,,
4741,2026-08-13,44,Chattooga,Taliaferro Creek,,
4740,2026-08-12,36,Union,Nottely River,,
4739,2026-08-12,34,Towns,Swallow Creek,,
4738,2026-08-12,33,Towns,Soapstone Creek,,
4737,2026-08-12,81,Fannin,Rock Creek (F),,
4736,2026-08-11,101,Fannin,Toccoa River,,
4735,2026-08-11,45,Fannin,Blueridge TW,,
4734,2026-08-10,27,Rabun,Moccasin Creek,,
4733,2026-08-10,5,Forsyth/Gwinnett,Lanier Tailwater,,
4582,2026-08-07,82,White,Chattahoochee River,,
4581,2026-08-07,78,Union,Cooper Creek,,
4580,2026-08-07,77,Towns,Tallulah River (T),,
4579,2026-08-07,74,Rabun,Tallulah River (R),,
4578,2026-08-07,27,Rabun,Moccasin Creek,,
4577,2026-08-07,66,Habersham,Soque River,,
4576,2026-08-06,58,Rabun,West Fork Chattooga River,,
4575,2026-08-06,57,Rabun,Warwoman Creek,,
4574,2026-08-06,56,Rabun,Sarah's Creek,,
